idno,gincdif,nuts2,eisced,eiscedf,eiscedm,domicil,n2_unrao25_2022,wkhtot,ipeqopt,inprdsc,ppltrst,trstprl,gndr,agea,cntry,marsts,chldhhe,uemp3m,mbtru,hinctnta,c_gini_2022,c_effectiveness_2022,n2_unrao25_2020,n2_unrao25_2021,c_gini_2020,c_gini_2021,c_effectiveness_2020,c_effectiveness_2021,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME
10401,2,BE32,7,7,7.0,3,8.5,31,1,3,8,6,1,64,BE,1,1,2,3,6,24.9,1.2276587,7.2,8.6,25.4,24.1,1.078783,1.0870334,0.122,-0.078713,0.322713
10402,2,BE25,6,4,6.0,4,1.9,666,2,1,7,7,1,22,BE,6,2,2,3,88,24.9,1.2276587,2.7,2.8,25.4,24.1,1.078783,1.0870334,0.745,0.353999,1.136001
10422,2,BE22,5,88,2.0,4,3.0,25,2,5,2,5,1,83,BE,66,1,2,3,4,24.9,1.2276587,3.0,2.8,25.4,24.1,1.078783,1.0870334,0.739,0.451199,1.026801
10439,4,BE31,4,6,6.0,2,4.6,666,1,4,5,8,2,25,BE,6,2,2,3,10,24.9,1.2276587,5.2,5.7,25.4,24.1,1.078783,1.0870334,0.459,0.160079,0.7579210000000001
10442,2,BE31,5,6,6.0,3,4.6,40,3,3,6,6,1,51,BE,3,6,2,3,5,24.9,1.2276587,5.2,5.7,25.4,24.1,1.078783,1.0870334,0.459,0.160079,0.7579210000000001
10445,2,BE10,7,6,6.0,3,10.3,70,1,4,7,3,2,44,BE,66,6,2,3,8,24.9,1.2276587,11.4,11.4,25.4,24.1,1.078783,1.0870334,-0.218,-0.518527,0.082527
10460,1,BE24,7,4,4.0,4,2.7,40,2,4,7,8,2,44,BE,6,6,2,1,9,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
10465,2,BE22,6,4,88.0,4,3.0,36,2,3,6,8,1,56,BE,66,6,2,1,10,24.9,1.2276587,3.0,2.8,25.4,24.1,1.078783,1.0870334,0.739,0.451199,1.026801
10466,2,BE10,7,4,4.0,3,10.3,3,2,4,6,88,2,53,BE,66,1,2,2,1,24.9,1.2276587,11.4,11.4,25.4,24.1,1.078783,1.0870334,-0.218,-0.518527,0.082527
10470,1,BE31,6,88,88.0,3,4.6,40,2,3,7,8,2,42,BE,6,6,2,1,9,24.9,1.2276587,5.2,5.7,25.4,24.1,1.078783,1.0870334,0.459,0.160079,0.7579210000000001
10478,2,BE22,2,88,88.0,5,3.0,98,3,6,2,0,1,67,BE,1,1,2,3,3,24.9,1.2276587,3.0,2.8,25.4,24.1,1.078783,1.0870334,0.739,0.451199,1.026801
10484,2,BE21,7,7,7.0,3,3.2,45,2,6,7,7,2,25,BE,6,2,2,3,10,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
10494,4,BE24,4,1,1.0,4,2.7,38,2,2,2,5,2,78,BE,66,1,2,2,5,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
10516,1,BE33,4,1,1.0,4,7.5,50,1,4,3,5,1,54,BE,66,6,1,1,7,24.9,1.2276587,6.8,8.1,25.4,24.1,1.078783,1.0870334,0.154,-0.077615,0.385615
10526,1,BE33,4,1,1.0,2,7.5,80,1,1,0,7,1,68,BE,66,6,1,1,6,24.9,1.2276587,6.8,8.1,25.4,24.1,1.078783,1.0870334,0.154,-0.077615,0.385615
10557,4,BE23,7,2,7.0,4,1.4,60,1,2,6,3,1,26,BE,6,2,2,2,10,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
10558,2,BE21,3,1,1.0,4,3.2,666,2,0,8,88,2,75,BE,5,1,2,3,3,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
10567,4,BE24,7,6,5.0,2,2.7,70,2,5,8,7,1,37,BE,66,6,2,3,10,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
10598,2,BE22,6,4,2.0,4,3.0,38,2,4,7,5,1,59,BE,66,1,2,1,5,24.9,1.2276587,3.0,2.8,25.4,24.1,1.078783,1.0870334,0.739,0.451199,1.026801
10603,3,BE23,5,2,1.0,4,1.4,38,2,4,6,7,1,32,BE,66,6,2,1,3,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
10611,2,BE32,6,1,1.0,3,8.5,38,2,2,5,5,1,50,BE,66,6,2,3,8,24.9,1.2276587,7.2,8.6,25.4,24.1,1.078783,1.0870334,0.122,-0.078713,0.322713
10621,4,BE23,4,1,1.0,2,1.4,36,4,4,5,7,1,80,BE,66,2,1,2,6,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
10629,1,BE31,4,1,1.0,4,4.6,888,5,3,8,10,1,50,BE,3,2,2,1,88,24.9,1.2276587,5.2,5.7,25.4,24.1,1.078783,1.0870334,0.459,0.160079,0.7579210000000001
10644,1,BE10,7,6,6.0,1,10.3,45,1,4,6,6,2,39,BE,6,2,1,1,2,24.9,1.2276587,11.4,11.4,25.4,24.1,1.078783,1.0870334,-0.218,-0.518527,0.082527
10648,2,BE10,7,4,2.0,1,10.3,60,1,4,7,7,1,43,BE,6,2,1,1,7,24.9,1.2276587,11.4,11.4,25.4,24.1,1.078783,1.0870334,-0.218,-0.518527,0.082527
10649,3,BE22,4,3,6.0,1,3.0,38,3,4,1,1,1,32,BE,66,6,1,1,6,24.9,1.2276587,3.0,2.8,25.4,24.1,1.078783,1.0870334,0.739,0.451199,1.026801
