idno,gincdif,nuts2,wkhtot,agea,cntry,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME,inc_redist,resp_ed,fath_ed,moth_ed,educ_mob_father,educ_mob_mother,educ_mob_avg,educ_mob_avg_category,EQI,domicile,unemp_nuts2,equality_importance,social_ties,gen_trust,gov_trust,income_decile,gender,union_member,child_ever,marital_status,unemp_ever,cntry_name,educ_mob_avg_bins
24612,2,CZ06,40.0,50,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,4.0,3.0,1.0,7.0,9.0,8.0,2,1,3.0,0,2,1,3,2.0,3,1,0.0,0.0,0.0,0.0,Czech Republic,High
24637,2,CZ07,70.0,33,Czech Republic,-0.461,-0.6781900000000001,-0.24381,1,5.0,4.0,2.0,7.0,9.0,8.0,2,1,3.0,1,1,,2,1.0,,0,0.0,0.0,0.0,0.0,Czech Republic,High
24638,1,CZ04,60.0,42,Czech Republic,-0.747,-0.941005,-0.552995,1,2.0,4.0,4.0,4.0,4.0,4.0,1,0,1.0,1,1,3,1,0.0,2,0,0.0,0.0,0.0,0.0,Czech Republic,Low
24643,2,CZ07,,76,Czech Republic,-0.461,-0.6781900000000001,-0.24381,1,3.0,2.0,1.0,7.0,8.0,7.5,2,1,4.0,1,1,1,1,2.0,3,0,0.0,1.0,3.0,0.0,Czech Republic,High
24685,4,CZ04,50.0,45,Czech Republic,-0.747,-0.941005,-0.552995,3,4.0,2.0,1.0,8.0,9.0,8.5,2,0,3.0,1,1,3,3,2.0,9,1,0.0,,,0.0,Czech Republic,High
24695,2,CZ05,,74,Czech Republic,-0.233,-0.447679,-0.018321,1,1.0,2.0,1.0,5.0,6.0,5.5,1,1,3.0,0,1,3,1,1.0,2,1,0.0,1.0,3.0,1.0,Czech Republic,Low
24697,1,CZ01,45.0,65,Czech Republic,-0.184,-0.48473,0.11673,1,2.0,3.0,2.0,5.0,6.0,5.5,1,1,1.0,0,2,1,2,2.0,3,1,0.0,1.0,,0.0,Czech Republic,Low
24698,1,CZ05,45.0,28,Czech Republic,-0.233,-0.447679,-0.018321,1,3.0,2.0,6.0,7.0,3.0,5.0,1,1,3.0,0,2,4,2,2.0,8,1,0.0,0.0,0.0,0.0,Czech Republic,Low
24702,2,CZ01,42.0,73,Czech Republic,-0.184,-0.48473,0.11673,1,3.0,4.0,5.0,5.0,4.0,4.5,1,1,1.0,0,1,2,3,2.0,1,1,0.0,1.0,2.0,0.0,Czech Republic,Low
24718,2,CZ08,40.0,43,Czech Republic,-0.555,-0.781609,-0.328391,1,3.0,2.0,2.0,7.0,7.0,7.0,2,1,3.0,1,2,2,2,2.0,2,1,0.0,,2.0,1.0,Czech Republic,Moderate
24723,2,CZ07,65.0,63,Czech Republic,-0.461,-0.6781900000000001,-0.24381,1,4.0,2.0,2.0,8.0,8.0,8.0,2,1,4.0,1,2,2,2,2.0,2,0,0.0,1.0,2.0,0.0,Czech Republic,High
24724,4,CZ07,40.0,25,Czech Republic,-0.461,-0.6781900000000001,-0.24381,3,5.0,2.0,2.0,9.0,9.0,9.0,2,1,4.0,1,1,3,3,,7,1,0.0,0.0,0.0,0.0,Czech Republic,Very High
24727,1,CZ07,42.0,61,Czech Republic,-0.461,-0.6781900000000001,-0.24381,1,2.0,4.0,4.0,4.0,4.0,4.0,1,1,3.0,1,2,1,3,3.0,7,0,0.0,1.0,3.0,0.0,Czech Republic,Low
24737,2,CZ04,60.0,49,Czech Republic,-0.747,-0.941005,-0.552995,1,3.0,2.0,2.0,7.0,7.0,7.0,2,0,3.0,1,1,1,2,2.0,5,1,0.0,1.0,,1.0,Czech Republic,Moderate
24754,3,CZ08,40.0,69,Czech Republic,-0.555,-0.781609,-0.328391,2,2.0,1.0,1.0,7.0,7.0,7.0,2,1,1.0,1,1,2,2,1.0,2,0,0.0,1.0,3.0,0.0,Czech Republic,Moderate
24784,5,CZ05,40.0,31,Czech Republic,-0.233,-0.447679,-0.018321,3,3.0,3.0,4.0,6.0,5.0,5.5,1,1,4.0,0,2,4,3,2.0,7,1,0.0,,,0.0,Czech Republic,Low
24790,1,CZ07,43.0,72,Czech Republic,-0.461,-0.6781900000000001,-0.24381,1,2.0,2.0,2.0,6.0,6.0,6.0,0,1,4.0,1,1,2,2,2.0,1,1,0.0,1.0,,0.0,Czech Republic,Low
24791,3,CZ02,42.0,70,Czech Republic,-0.416,-0.652595,-0.179405,2,4.0,4.0,3.0,6.0,7.0,6.5,2,1,4.0,0,1,3,3,3.0,,1,0.0,1.0,,0.0,Czech Republic,Moderate
24806,1,CZ08,40.0,65,Czech Republic,-0.555,-0.781609,-0.328391,1,4.0,2.0,2.0,8.0,8.0,8.0,2,1,1.0,1,1,3,2,,6,1,0.0,1.0,,0.0,Czech Republic,High
24813,3,CZ03,50.0,43,Czech Republic,-0.446,-0.655646,-0.236354,2,2.0,2.0,2.0,6.0,6.0,6.0,0,1,4.0,0,1,1,1,3.0,,0,0.0,0.0,0.0,0.0,Czech Republic,Low
24819,1,CZ06,42.0,67,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,4.0,2.0,2.0,8.0,8.0,8.0,2,1,4.0,0,2,1,2,0.0,2,0,0.0,0.0,3.0,0.0,Czech Republic,High
24832,2,CZ02,40.0,37,Czech Republic,-0.416,-0.652595,-0.179405,1,2.0,2.0,2.0,6.0,6.0,6.0,0,1,4.0,0,3,4,3,3.0,6,0,0.0,,,0.0,Czech Republic,Low
24833,3,CZ02,55.0,55,Czech Republic,-0.416,-0.652595,-0.179405,2,4.0,4.0,3.0,6.0,7.0,6.5,2,1,4.0,0,2,2,3,0.0,8,0,0.0,1.0,2.0,0.0,Czech Republic,Moderate
24838,4,CZ02,,64,Czech Republic,-0.416,-0.652595,-0.179405,3,6.0,6.0,4.0,6.0,8.0,7.0,2,1,3.0,0,2,2,2,3.0,10,0,0.0,0.0,2.0,0.0,Czech Republic,Moderate
24846,2,CZ02,40.0,42,Czech Republic,-0.416,-0.652595,-0.179405,1,5.0,4.0,4.0,7.0,7.0,7.0,2,1,4.0,0,1,4,2,3.0,7,0,0.0,,,0.0,Czech Republic,Moderate
24851,5,CZ05,50.0,51,Czech Republic,-0.233,-0.447679,-0.018321,3,2.0,2.0,2.0,6.0,6.0,6.0,0,1,1.0,0,2,4,2,2.0,5,0,0.0,1.0,2.0,0.0,Czech Republic,Low
24854,3,CZ05,42.0,80,Czech Republic,-0.233,-0.447679,-0.018321,2,3.0,0.0,0.0,9.0,9.0,9.0,2,1,3.0,0,1,3,1,3.0,1,0,0.0,1.0,3.0,0.0,Czech Republic,Very High
24875,2,CZ08,40.0,78,Czech Republic,-0.555,-0.781609,-0.328391,1,2.0,2.0,1.0,6.0,7.0,6.5,2,1,1.0,1,1,3,2,3.0,6,1,0.0,1.0,,0.0,Czech Republic,Moderate
24881,2,CZ06,45.0,82,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,4.0,1.0,1.0,9.0,9.0,9.0,2,1,3.0,0,3,3,3,3.0,2,1,0.0,1.0,3.0,0.0,Czech Republic,Very High
24895,2,CZ04,40.0,65,Czech Republic,-0.747,-0.941005,-0.552995,1,4.0,4.0,3.0,6.0,7.0,6.5,2,0,1.0,1,1,2,3,3.0,8,1,1.0,1.0,,1.0,Czech Republic,Moderate
24901,5,CZ01,46.0,53,Czech Republic,-0.184,-0.48473,0.11673,3,4.0,2.0,2.0,8.0,8.0,8.0,2,1,1.0,0,1,4,2,1.0,8,1,0.0,1.0,,0.0,Czech Republic,High
24903,3,CZ06,40.0,36,Czech Republic,-0.34,-0.5459590000000001,-0.134041,2,6.0,3.0,6.0,9.0,6.0,7.5,2,1,4.0,0,2,2,1,1.0,9,0,0.0,,,0.0,Czech Republic,High
24905,1,CZ06,45.0,73,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,4.0,3.0,2.0,7.0,8.0,7.5,2,1,3.0,0,1,,1,2.0,6,1,0.0,,3.0,1.0,Czech Republic,High
24915,3,CZ07,50.0,63,Czech Republic,-0.461,-0.6781900000000001,-0.24381,2,6.0,4.0,4.0,8.0,8.0,8.0,2,1,3.0,1,1,2,3,2.0,9,0,0.0,1.0,,0.0,Czech Republic,High
24917,2,CZ06,48.0,36,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,3.0,3.0,4.0,6.0,5.0,5.5,1,1,4.0,0,1,,3,1.0,,1,0.0,0.0,0.0,0.0,Czech Republic,Low
24926,2,CZ06,50.0,35,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,6.0,2.0,4.0,10.0,8.0,9.0,2,1,1.0,0,1,4,3,3.0,5,1,0.0,,,0.0,Czech Republic,Very High
24932,2,CZ01,30.0,57,Czech Republic,-0.184,-0.48473,0.11673,1,4.0,4.0,2.0,6.0,8.0,7.0,2,1,1.0,0,2,2,2,3.0,4,1,0.0,0.0,0.0,0.0,Czech Republic,Moderate
24936,4,CZ01,30.0,65,Czech Republic,-0.184,-0.48473,0.11673,3,4.0,6.0,6.0,4.0,4.0,4.0,1,1,1.0,0,1,0,2,1.0,8,1,0.0,,,0.0,Czech Republic,Low
24938,2,CZ03,40.0,28,Czech Republic,-0.446,-0.655646,-0.236354,1,6.0,4.0,3.0,8.0,9.0,8.5,2,1,1.0,0,1,4,2,2.0,4,1,0.0,0.0,0.0,0.0,Czech Republic,High
24951,4,CZ07,,53,Czech Republic,-0.461,-0.6781900000000001,-0.24381,3,4.0,3.0,4.0,7.0,6.0,6.5,2,1,3.0,1,3,2,2,1.0,9,1,0.0,0.0,1.0,0.0,Czech Republic,Moderate
24952,4,CZ05,,61,Czech Republic,-0.233,-0.447679,-0.018321,3,2.0,2.0,3.0,6.0,5.0,5.5,1,1,2.0,0,2,2,3,2.0,5,0,0.0,0.0,3.0,0.0,Czech Republic,Low
24963,5,CZ05,40.0,36,Czech Republic,-0.233,-0.447679,-0.018321,3,6.0,3.0,3.0,9.0,9.0,9.0,2,1,1.0,0,1,2,1,1.0,10,1,0.0,,,0.0,Czech Republic,Very High
24967,2,CZ06,10.0,75,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,3.0,3.0,1.0,6.0,8.0,7.0,2,1,4.0,0,1,3,2,2.0,2,1,0.0,1.0,3.0,0.0,Czech Republic,Moderate
24983,3,CZ04,40.0,52,Czech Republic,-0.747,-0.941005,-0.552995,2,4.0,2.0,2.0,8.0,8.0,8.0,2,0,4.0,1,1,1,2,2.0,,0,0.0,0.0,2.0,,Czech Republic,High
24987,3,CZ07,40.0,46,Czech Republic,-0.461,-0.6781900000000001,-0.24381,2,4.0,2.0,2.0,8.0,8.0,8.0,2,1,3.0,1,2,2,3,3.0,5,1,0.0,1.0,2.0,1.0,Czech Republic,High
24993,4,CZ01,40.0,65,Czech Republic,-0.184,-0.48473,0.11673,3,3.0,4.0,3.0,5.0,6.0,5.5,1,1,1.0,0,1,4,2,2.0,6,1,0.0,1.0,3.0,0.0,Czech Republic,Low
24996,3,CZ06,43.0,50,Czech Republic,-0.34,-0.5459590000000001,-0.134041,2,2.0,2.0,2.0,6.0,6.0,6.0,0,1,4.0,0,1,1,3,3.0,6,0,0.0,1.0,,0.0,Czech Republic,Low
25016,5,CZ07,40.0,41,Czech Republic,-0.461,-0.6781900000000001,-0.24381,3,4.0,4.0,3.0,6.0,7.0,6.5,2,1,4.0,1,2,2,3,3.0,,1,0.0,,2.0,0.0,Czech Republic,Moderate
25022,2,CZ07,40.0,69,Czech Republic,-0.461,-0.6781900000000001,-0.24381,1,3.0,1.0,3.0,8.0,6.0,7.0,2,1,4.0,1,1,1,1,1.0,1,1,0.0,1.0,0.0,0.0,Czech Republic,Moderate
25024,3,CZ08,40.0,60,Czech Republic,-0.555,-0.781609,-0.328391,2,2.0,2.0,2.0,6.0,6.0,6.0,0,1,3.0,1,1,2,1,1.0,4,0,0.0,0.0,2.0,1.0,Czech Republic,Low
25029,2,CZ01,38.0,42,Czech Republic,-0.184,-0.48473,0.11673,1,4.0,2.0,6.0,8.0,4.0,6.0,0,1,1.0,0,2,2,3,2.0,8,0,0.0,,,0.0,Czech Republic,Low
25032,2,CZ04,42.0,51,Czech Republic,-0.747,-0.941005,-0.552995,1,4.0,4.0,4.0,6.0,6.0,6.0,0,0,4.0,1,1,0,3,3.0,9,1,0.0,1.0,,0.0,Czech Republic,Low
25047,2,CZ03,42.0,76,Czech Republic,-0.446,-0.655646,-0.236354,1,3.0,4.0,4.0,5.0,5.0,5.0,1,1,1.0,0,1,2,2,0.0,,1,0.0,1.0,2.0,0.0,Czech Republic,Low
25048,2,CZ07,,73,Czech Republic,-0.461,-0.6781900000000001,-0.24381,1,1.0,1.0,1.0,6.0,6.0,6.0,0,1,1.0,1,2,1,0,2.0,2,1,0.0,1.0,3.0,0.0,Czech Republic,Low
25067,4,CZ04,42.0,28,Czech Republic,-0.747,-0.941005,-0.552995,3,2.0,2.0,4.0,6.0,4.0,5.0,1,0,4.0,1,1,,0,2.0,,0,0.0,0.0,2.0,0.0,Czech Republic,Low
25088,2,CZ01,60.0,43,Czech Republic,-0.184,-0.48473,0.11673,1,3.0,1.0,1.0,8.0,8.0,8.0,2,1,1.0,0,2,1,1,1.0,3,0,0.0,0.0,2.0,1.0,Czech Republic,High
25095,5,CZ01,35.0,38,Czech Republic,-0.184,-0.48473,0.11673,3,3.0,3.0,3.0,6.0,6.0,6.0,0,1,1.0,0,2,4,3,2.0,9,0,0.0,,,0.0,Czech Republic,Low
25103,2,CZ03,40.0,35,Czech Republic,-0.446,-0.655646,-0.236354,1,6.0,1.0,3.0,11.0,9.0,10.0,2,1,1.0,0,1,4,3,3.0,6,0,0.0,0.0,0.0,1.0,Czech Republic,Very High
25113,5,CZ05,,49,Czech Republic,-0.233,-0.447679,-0.018321,3,2.0,2.0,2.0,6.0,6.0,6.0,0,1,4.0,0,2,2,1,1.0,,1,0.0,,,0.0,Czech Republic,Low
25123,5,CZ07,43.0,35,Czech Republic,-0.461,-0.6781900000000001,-0.24381,3,6.0,2.0,2.0,10.0,10.0,10.0,2,1,4.0,1,1,4,2,2.0,5,1,0.0,0.0,0.0,0.0,Czech Republic,Very High
25128,4,CZ02,,36,Czech Republic,-0.416,-0.652595,-0.179405,3,5.0,3.0,4.0,8.0,7.0,7.5,2,1,4.0,0,2,3,2,2.0,7,1,0.0,,0.0,0.0,Czech Republic,High
25132,2,CZ03,43.0,61,Czech Republic,-0.446,-0.655646,-0.236354,1,3.0,2.0,2.0,7.0,7.0,7.0,2,1,1.0,0,1,2,2,2.0,3,0,0.0,1.0,2.0,0.0,Czech Republic,Moderate
25147,2,CZ07,30.0,63,Czech Republic,-0.461,-0.6781900000000001,-0.24381,1,4.0,1.0,2.0,9.0,8.0,8.5,2,1,4.0,1,1,,1,1.0,3,1,0.0,,,1.0,Czech Republic,High
25160,3,CZ07,40.0,62,Czech Republic,-0.461,-0.6781900000000001,-0.24381,2,6.0,2.0,4.0,10.0,8.0,9.0,2,1,4.0,1,2,3,1,1.0,2,1,0.0,1.0,2.0,1.0,Czech Republic,Very High
25162,2,CZ05,40.0,48,Czech Republic,-0.233,-0.447679,-0.018321,1,3.0,3.0,2.0,6.0,7.0,6.5,2,1,2.0,0,3,1,1,2.0,5,0,0.0,1.0,2.0,0.0,Czech Republic,Moderate
25171,2,CZ03,40.0,55,Czech Republic,-0.446,-0.655646,-0.236354,1,3.0,2.0,3.0,7.0,6.0,6.5,2,1,1.0,0,1,1,2,2.0,2,1,0.0,1.0,2.0,1.0,Czech Republic,Moderate
25199,2,CZ02,,66,Czech Republic,-0.416,-0.652595,-0.179405,1,3.0,1.0,1.0,8.0,8.0,8.0,2,1,4.0,0,1,3,0,1.0,,1,0.0,1.0,2.0,0.0,Czech Republic,High
25206,1,CZ02,45.0,49,Czech Republic,-0.416,-0.652595,-0.179405,1,2.0,2.0,2.0,6.0,6.0,6.0,0,1,4.0,0,2,4,3,2.0,7,1,0.0,,,1.0,Czech Republic,Low
25211,4,CZ02,40.0,46,Czech Republic,-0.416,-0.652595,-0.179405,3,4.0,4.0,4.0,6.0,6.0,6.0,0,1,3.0,0,2,4,3,3.0,4,0,0.0,0.0,0.0,0.0,Czech Republic,Low
25213,2,CZ06,43.0,71,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,3.0,2.0,1.0,7.0,8.0,7.5,2,1,1.0,0,1,1,1,1.0,5,0,0.0,1.0,,1.0,Czech Republic,High
25217,3,CZ01,40.0,31,Czech Republic,-0.184,-0.48473,0.11673,2,4.0,3.0,3.0,7.0,7.0,7.0,2,1,1.0,0,2,3,2,1.0,6,1,0.0,,,0.0,Czech Republic,Moderate
25224,1,CZ01,40.0,58,Czech Republic,-0.184,-0.48473,0.11673,1,2.0,1.0,1.0,7.0,7.0,7.0,2,1,1.0,0,2,4,2,2.0,3,1,0.0,,2.0,1.0,Czech Republic,Moderate
25227,3,CZ01,50.0,50,Czech Republic,-0.184,-0.48473,0.11673,2,4.0,4.0,2.0,6.0,8.0,7.0,2,1,1.0,0,2,1,1,2.0,7,0,0.0,,,0.0,Czech Republic,Moderate
25232,4,CZ04,40.0,51,Czech Republic,-0.747,-0.941005,-0.552995,3,2.0,2.0,2.0,6.0,6.0,6.0,0,0,3.0,1,1,4,3,2.0,7,0,0.0,,,0.0,Czech Republic,Low
25240,2,CZ08,45.0,66,Czech Republic,-0.555,-0.781609,-0.328391,1,2.0,1.0,1.0,7.0,7.0,7.0,2,1,3.0,1,1,3,3,3.0,6,1,0.0,1.0,,0.0,Czech Republic,Moderate
25247,3,CZ06,40.0,70,Czech Republic,-0.34,-0.5459590000000001,-0.134041,2,4.0,1.0,2.0,9.0,8.0,8.5,2,1,3.0,0,1,1,1,1.0,1,1,0.0,1.0,3.0,1.0,Czech Republic,High
25273,3,CZ08,40.0,62,Czech Republic,-0.555,-0.781609,-0.328391,2,2.0,6.0,4.0,2.0,4.0,3.0,1,1,3.0,1,1,5,2,1.0,,0,0.0,1.0,,1.0,Czech Republic,Low
25275,2,CZ06,50.0,61,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,2.0,1.0,1.0,7.0,7.0,7.0,2,1,1.0,0,2,0,2,1.0,4,1,0.0,1.0,2.0,1.0,Czech Republic,Moderate
25285,1,CZ05,40.0,57,Czech Republic,-0.233,-0.447679,-0.018321,1,2.0,2.0,2.0,6.0,6.0,6.0,0,1,1.0,0,1,2,2,1.0,6,1,0.0,0.0,,0.0,Czech Republic,Low
25295,3,CZ07,,58,Czech Republic,-0.461,-0.6781900000000001,-0.24381,2,4.0,1.0,2.0,9.0,8.0,8.5,2,1,4.0,1,1,,3,1.0,7,0,0.0,1.0,,1.0,Czech Republic,High
25296,3,CZ05,30.0,67,Czech Republic,-0.233,-0.447679,-0.018321,2,4.0,6.0,2.0,4.0,8.0,6.0,0,1,1.0,0,1,1,3,1.0,3,0,0.0,1.0,2.0,0.0,Czech Republic,Low
25305,3,CZ04,60.0,51,Czech Republic,-0.747,-0.941005,-0.552995,2,6.0,6.0,6.0,6.0,6.0,6.0,0,0,1.0,1,2,3,1,2.0,10,0,0.0,0.0,2.0,0.0,Czech Republic,Low
25326,3,CZ06,30.0,72,Czech Republic,-0.34,-0.5459590000000001,-0.134041,2,3.0,3.0,1.0,6.0,8.0,7.0,2,1,4.0,0,1,2,2,1.0,3,1,0.0,1.0,2.0,0.0,Czech Republic,Moderate
25330,4,CZ02,40.0,41,Czech Republic,-0.416,-0.652595,-0.179405,3,4.0,2.0,2.0,8.0,8.0,8.0,2,1,4.0,0,2,3,3,3.0,9,1,0.0,,,0.0,Czech Republic,High
25334,4,CZ08,,56,Czech Republic,-0.555,-0.781609,-0.328391,3,5.0,2.0,3.0,9.0,8.0,8.5,2,1,1.0,1,1,2,2,2.0,,0,0.0,1.0,,0.0,Czech Republic,High
25344,3,CZ03,45.0,51,Czech Republic,-0.446,-0.655646,-0.236354,2,2.0,2.0,2.0,6.0,6.0,6.0,0,1,3.0,0,2,1,0,3.0,4,0,0.0,1.0,2.0,0.0,Czech Republic,Low
25354,2,CZ02,40.0,30,Czech Republic,-0.416,-0.652595,-0.179405,1,3.0,2.0,4.0,7.0,5.0,6.0,0,1,4.0,0,1,3,1,1.0,,1,0.0,0.0,0.0,1.0,Czech Republic,Low
25355,3,CZ05,60.0,41,Czech Republic,-0.233,-0.447679,-0.018321,2,3.0,2.0,2.0,7.0,7.0,7.0,2,1,4.0,0,,,0,0.0,,1,0.0,0.0,2.0,0.0,Czech Republic,Moderate
25403,3,CZ03,44.0,48,Czech Republic,-0.446,-0.655646,-0.236354,2,5.0,3.0,3.0,8.0,8.0,8.0,2,1,1.0,0,1,1,2,1.0,,1,0.0,1.0,0.0,0.0,Czech Republic,High
25406,2,CZ08,40.0,26,Czech Republic,-0.555,-0.781609,-0.328391,1,3.0,2.0,2.0,7.0,7.0,7.0,2,1,4.0,1,1,4,3,1.0,,1,0.0,,,1.0,Czech Republic,Moderate
25409,2,CZ08,40.0,76,Czech Republic,-0.555,-0.781609,-0.328391,1,3.0,2.0,2.0,7.0,7.0,7.0,2,1,1.0,1,1,3,3,3.0,2,1,0.0,1.0,3.0,0.0,Czech Republic,Moderate
25419,4,CZ06,40.0,73,Czech Republic,-0.34,-0.5459590000000001,-0.134041,3,2.0,2.0,1.0,6.0,7.0,6.5,2,1,4.0,0,2,5,3,3.0,2,1,0.0,1.0,3.0,0.0,Czech Republic,Moderate
25420,4,CZ02,,71,Czech Republic,-0.416,-0.652595,-0.179405,3,3.0,2.0,2.0,7.0,7.0,7.0,2,1,3.0,0,2,2,3,2.0,9,1,0.0,0.0,,0.0,Czech Republic,Moderate
25421,5,CZ05,45.0,49,Czech Republic,-0.233,-0.447679,-0.018321,3,4.0,2.0,3.0,8.0,7.0,7.5,2,1,4.0,0,1,4,3,3.0,,0,0.0,,,0.0,Czech Republic,High
25422,4,CZ03,48.0,58,Czech Republic,-0.446,-0.655646,-0.236354,3,4.0,3.0,2.0,7.0,8.0,7.5,2,1,3.0,0,2,2,2,2.0,2,1,0.0,,3.0,1.0,Czech Republic,High
25424,4,CZ04,42.0,51,Czech Republic,-0.747,-0.941005,-0.552995,3,1.0,2.0,4.0,5.0,3.0,4.0,1,0,1.0,1,2,2,3,3.0,7,1,0.0,0.0,,0.0,Czech Republic,Low
25429,4,CZ03,,43,Czech Republic,-0.446,-0.655646,-0.236354,3,2.0,3.0,2.0,5.0,6.0,5.5,1,1,4.0,0,2,3,2,2.0,5,1,0.0,1.0,2.0,0.0,Czech Republic,Low
25452,2,CZ06,43.0,70,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,4.0,1.0,1.0,9.0,9.0,9.0,2,1,3.0,0,1,3,3,2.0,4,1,0.0,1.0,,0.0,Czech Republic,Very High
25462,2,CZ08,45.0,42,Czech Republic,-0.555,-0.781609,-0.328391,1,4.0,3.0,4.0,7.0,6.0,6.5,2,1,1.0,1,1,1,2,1.0,7,0,0.0,0.0,0.0,0.0,Czech Republic,Moderate
25465,5,CZ08,40.0,65,Czech Republic,-0.555,-0.781609,-0.328391,3,3.0,3.0,3.0,6.0,6.0,6.0,0,1,1.0,1,1,1,1,0.0,,1,0.0,1.0,2.0,0.0,Czech Republic,Low
25470,2,CZ04,55.0,41,Czech Republic,-0.747,-0.941005,-0.552995,1,2.0,2.0,4.0,6.0,4.0,5.0,1,0,1.0,1,1,,2,3.0,,0,0.0,0.0,0.0,0.0,Czech Republic,Low
25481,2,CZ06,42.0,64,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,4.0,2.0,1.0,8.0,9.0,8.5,2,1,4.0,0,2,0,0,3.0,,0,0.0,0.0,3.0,0.0,Czech Republic,High
25488,2,CZ02,,60,Czech Republic,-0.416,-0.652595,-0.179405,1,2.0,1.0,2.0,7.0,6.0,6.5,2,1,3.0,0,1,1,3,3.0,2,0,0.0,1.0,2.0,0.0,Czech Republic,Moderate
25495,1,CZ05,40.0,32,Czech Republic,-0.233,-0.447679,-0.018321,1,3.0,2.0,5.0,7.0,4.0,5.5,1,1,4.0,0,3,4,1,1.0,2,1,0.0,,0.0,0.0,Czech Republic,Low
25509,2,CZ05,60.0,72,Czech Republic,-0.233,-0.447679,-0.018321,1,4.0,2.0,2.0,8.0,8.0,8.0,2,1,1.0,0,2,2,3,3.0,2,1,0.0,1.0,3.0,0.0,Czech Republic,High
25512,3,CZ06,40.0,42,Czech Republic,-0.34,-0.5459590000000001,-0.134041,2,3.0,3.0,3.0,6.0,6.0,6.0,0,1,3.0,0,2,1,2,1.0,,0,0.0,1.0,0.0,0.0,Czech Republic,Low
25519,2,CZ02,40.0,31,Czech Republic,-0.416,-0.652595,-0.179405,1,4.0,2.0,4.0,8.0,6.0,7.0,2,1,4.0,0,2,3,3,3.0,7,0,0.0,,,0.0,Czech Republic,Moderate
25522,5,CZ02,,40,Czech Republic,-0.416,-0.652595,-0.179405,3,1.0,1.0,2.0,6.0,5.0,5.5,1,1,1.0,0,2,2,3,3.0,6,0,0.0,,1.0,1.0,Czech Republic,Low
25540,1,CZ06,40.0,71,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,2.0,2.0,2.0,6.0,6.0,6.0,0,1,4.0,0,2,3,3,2.0,2,1,0.0,1.0,3.0,0.0,Czech Republic,Low
25546,1,CZ06,40.0,80,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,2.0,2.0,2.0,6.0,6.0,6.0,0,1,1.0,0,1,2,2,3.0,1,1,0.0,1.0,3.0,0.0,Czech Republic,Low
25554,3,CZ05,40.0,70,Czech Republic,-0.233,-0.447679,-0.018321,2,6.0,2.0,1.0,10.0,11.0,10.5,2,1,4.0,0,1,3,3,3.0,4,0,0.0,1.0,2.0,0.0,Czech Republic,Very High
25562,2,CZ06,,37,Czech Republic,-0.34,-0.5459590000000001,-0.134041,1,3.0,2.0,2.0,7.0,7.0,7.0,2,1,4.0,0,1,1,3,2.0,5,1,0.0,,,0.0,Czech Republic,Moderate
25565,3,CZ01,48.0,28,Czech Republic,-0.184,-0.48473,0.11673,2,3.0,3.0,3.0,6.0,6.0,6.0,0,1,1.0,0,2,3,2,2.0,4,1,0.0,0.0,0.0,1.0,Czech Republic,Low
25573,4,CZ08,50.0,29,Czech Republic,-0.555,-0.781609,-0.328391,3,5.0,2.0,2.0,9.0,9.0,9.0,2,1,1.0,1,1,4,2,0.0,3,1,0.0,0.0,0.0,1.0,Czech Republic,Very High
25576,3,CZ06,50.0,71,Czech Republic,-0.34,-0.5459590000000001,-0.134041,2,3.0,4.0,2.0,5.0,7.0,6.0,0,1,4.0,0,1,0,1,1.0,,0,0.0,1.0,2.0,0.0,Czech Republic,Low
25577,4,CZ08,40.0,69,Czech Republic,-0.555,-0.781609,-0.328391,3,3.0,2.0,6.0,7.0,3.0,5.0,1,1,1.0,1,1,2,3,3.0,5,1,0.0,0.0,,0.0,Czech Republic,Low
25581,4,CZ01,55.0,67,Czech Republic,-0.184,-0.48473,0.11673,3,3.0,3.0,4.0,6.0,5.0,5.5,1,1,1.0,0,1,2,2,1.0,3,1,0.0,1.0,3.0,0.0,Czech Republic,Low
25586,2,CZ04,40.0,37,Czech Republic,-0.747,-0.941005,-0.552995,1,1.0,1.0,1.0,6.0,6.0,6.0,0,0,3.0,1,,,0,0.0,,0,0.0,,,1.0,Czech Republic,Low
25617,2,CZ03,40.0,37,Czech Republic,-0.446,-0.655646,-0.236354,1,5.0,3.0,2.0,8.0,9.0,8.5,2,1,4.0,0,1,2,1,3.0,10,0,0.0,0.0,,1.0,Czech Republic,High
25633,4,CZ06,42.0,28,Czech Republic,-0.34,-0.5459590000000001,-0.134041,3,3.0,4.0,4.0,5.0,5.0,5.0,1,1,4.0,0,1,3,2,3.0,,1,0.0,0.0,0.0,0.0,Czech Republic,Low
